B,m,memory_MB,time_sec,logB,logm,B_over_m,m_sq,log_time,device
1024,4,21.2529296875,0.0022039413452148438,6.931471805599453,1.3862943611198906,256.0,16,-6.117503463608986,NVIDIA_A100-SXM4-40GB
1024,8,19.75341796875,0.0034332275390625,6.931471805599453,2.0794415416798357,128.0,64,-5.674251574047836,NVIDIA_A100-SXM4-40GB
1024,16,19.50341796875,0.00638890266418457,6.931471805599453,2.772588722239781,64.0,256,-5.053191187171348,NVIDIA_A100-SXM4-40GB
1024,32,19.37841796875,0.011947154998779297,6.931471805599453,3.4657359027997265,32.0,1024,-4.42726126734602,NVIDIA_A100-SXM4-40GB
1024,64,19.31591796875,0.02220630645751953,6.931471805599453,4.1588830833596715,16.0,4096,-3.807378505460005,NVIDIA_A100-SXM4-40GB
1024,128,19.28466796875,0.048958539962768555,6.931471805599453,4.852030263919617,8.0,16384,-3.0167812579901696,NVIDIA_A100-SXM4-40GB
1024,256,19.79833984375,0.08448553085327148,6.931471805599453,5.545177444479562,4.0,65536,-2.471174873423175,NVIDIA_A100-SXM4-40GB
1024,512,19.79052734375,0.17699003219604492,6.931471805599453,6.238324625039508,2.0,262144,-1.7316618067702996,NVIDIA_A100-SXM4-40GB
2048,2,36.75927734375,0.0018150806427001953,7.6246189861593985,0.6931471805599453,1024.0,4,-6.311619871630677,NVIDIA_A100-SXM4-40GB
2048,4,32.2587890625,0.0020952224731445312,7.6246189861593985,1.3862943611198906,512.0,16,-6.168090766062827,NVIDIA_A100-SXM4-40GB
2048,8,26.2587890625,0.003473520278930664,7.6246189861593985,2.0794415416798357,256.0,64,-5.662583830745203,NVIDIA_A100-SXM4-40GB
2048,16,23.25927734375,0.006822824478149414,7.6246189861593985,2.772588722239781,128.0,256,-4.987480280837895,NVIDIA_A100-SXM4-40GB
2048,32,22.75927734375,0.01180267333984375,7.6246189861593985,3.4657359027997265,64.0,1024,-4.4394283716806875,NVIDIA_A100-SXM4-40GB
2048,64,22.50927734375,0.023548603057861328,7.6246189861593985,4.1588830833596715,32.0,4096,-3.748688353763074,NVIDIA_A100-SXM4-40GB
2048,128,22.38427734375,0.04238152503967285,7.6246189861593985,4.852030263919617,16.0,16384,-3.161042505946767,NVIDIA_A100-SXM4-40GB
2048,256,22.32177734375,0.08591103553771973,7.6246189861593985,5.545177444479562,8.0,65536,-2.4544428722546767,NVIDIA_A100-SXM4-40GB
2048,512,23.34521484375,0.1711125373840332,7.6246189861593985,6.238324625039508,4.0,262144,-1.765433767143118,NVIDIA_A100-SXM4-40GB
4096,2,89.28271484375,0.002580404281616211,8.317766166719343,0.6931471805599453,2048.0,4,-5.95980531866943,NVIDIA_A100-SXM4-40GB
4096,4,72.2822265625,0.0021359920501708984,8.317766166719343,1.3862943611198906,1024.0,16,-6.148819398066813,NVIDIA_A100-SXM4-40GB
4096,8,48.2822265625,0.003587007522583008,8.317766166719343,2.0794415416798357,512.0,64,-5.630434195419388,NVIDIA_A100-SXM4-40GB
4096,16,36.2822265625,0.006208658218383789,8.317766166719343,2.772588722239781,256.0,256,-5.081808863623218,NVIDIA_A100-SXM4-40GB
4096,32,30.28271484375,0.011495590209960938,8.317766166719343,3.4657359027997265,128.0,1024,-4.465790907257507,NVIDIA_A100-SXM4-40GB
4096,64,29.28271484375,0.022481441497802734,8.317766166719343,4.1588830833596715,64.0,4096,-3.7950646876335017,NVIDIA_A100-SXM4-40GB
4096,128,28.78271484375,0.04558277130126953,8.317766166719343,4.852030263919617,32.0,16384,-3.088225236814112,NVIDIA_A100-SXM4-40GB
4096,256,28.53369140625,0.0869746208190918,8.317766166719343,5.545177444479562,16.0,65536,-2.4421388026315904,NVIDIA_A100-SXM4-40GB
4096,512,30.62646484375,0.17416739463806152,8.317766166719343,6.238324625039508,8.0,262144,-1.7477383466639234,NVIDIA_A100-SXM4-40GB
8192,2,290.37646484375,0.004739046096801758,9.010913347279288,0.6931471805599453,4096.0,4,-5.351917298801129,NVIDIA_A100-SXM4-40GB
8192,4,224.3759765625,0.004827260971069336,9.010913347279288,1.3862943611198906,2048.0,16,-5.333473987341293,NVIDIA_A100-SXM4-40GB
8192,8,128.3759765625,0.005303144454956055,9.010913347279288,2.0794415416798357,1024.0,64,-5.239453455293149,NVIDIA_A100-SXM4-40GB
8192,16,80.3759765625,0.0065424442291259766,9.010913347279288,2.772588722239781,512.0,256,-5.02944291951475,NVIDIA_A100-SXM4-40GB
8192,32,56.3759765625,0.011979103088378906,9.010913347279288,3.4657359027997265,256.0,1024,-4.424590721724963,NVIDIA_A100-SXM4-40GB
8192,64,44.37646484375,0.022849559783935547,9.010913347279288,4.1588830833596715,128.0,4096,-3.778822989655688,NVIDIA_A100-SXM4-40GB
8192,128,42.37646484375,0.047019004821777344,9.010913347279288,4.852030263919617,64.0,16384,-3.0572031884126143,NVIDIA_A100-SXM4-40GB
8192,256,41.37646484375,0.09042596817016602,9.010913347279288,5.545177444479562,32.0,65536,-2.403223683727604,NVIDIA_A100-SXM4-40GB
8192,512,45.75146484375,0.17739439010620117,9.010913347279288,6.238324625039508,16.0,262144,-1.7293797760862812,NVIDIA_A100-SXM4-40GB
